Titre,Genre,Acteur principal,Annee
Le Seigneur des Anneaux : Le Retour du Roi,fantastique,Elijah Wood,2003
Le Parrain,drame,Marlon Brando,1972
Inception,science-fiction,Leonardo DiCaprio,2010
Star Wars : Episode IV - Un nouvel espoir,science-fiction,Mark Hamill,1977
La Liste de Schindler,drame,Liam Neeson,1993
Le Silence des Agneaux,thriller,Jodie Foster,1991
Retour vers le futur,science-fiction,Michael J. Fox,1985
Fight Club,drame,Brad Pitt,1999
Forrest Gump,drame,Tom Hanks,1994
Le Roi Lion,animation,Matthew Broderick,1994
Avatar,science-fiction,Sam Worthington,2009
The Lord of the Rings: The Fellowship of the Ring,fantasy,Elijah Wood,2001
The Godfather: Part II,crime,Al Pacino,1974
The Dark Knight Rises,action,Christian Bale,2012
The Shawshank Redemption,drama,Tim Robbins,1994
Inglourious Basterds,war,Brad Pitt,2009
The Matrix,action,Keanu Reeves,1999
Schindler's List,biography,Liam Neeson,1993
The Lord of the Rings: The Two Towers,fantasy,Elijah Wood,2002
The Lord of the Rings: The Return of the King,fantasy,Elijah Wood,2003
Pulp Fiction,crime,John Travolta,1994
Fight Club,drama,Brad Pitt,1999
The Godfather,crime,Marlon Brando,1972
The Empire Strikes Back,action,Mark Hamill,1980
The Shawshank Redemption,drama,Tim Robbins,1994
The Dark Knight,action,Christian Bale,2008
The Lord of the Rings: The Fellowship of the Ring,fantasy,Elijah Wood,2001
Inglourious Basterds,war,Brad Pitt,2009
The Shawshank Redemption,drama,Tim Robbins,1994
